time,board,price,rate,quantity,volume,market,origin,tradeStatus,nemotecnico,fecha_dia
11:18,RTES,87.982,13.2,500000000,475985500,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
11:20,RTES,87.915,13.211,15585000000,14835844635,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
11:42,RTES,87.732,13.24,3100000000,2943360100,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
11:42,RTES,87.732,13.24,900000000,854523900,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
11:52,RTES,87.857,13.22,4000000000,3802884000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
12:19,RTES,87.608,13.26,10000000000,9482310000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
12:41,RTES,87.39,13.295,14000000000,13244714000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
12:44,RTES,87.39,13.295,14000000000,13244714000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
12:45,RTES,87.57,13.266,5000000000,4739255000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
13:03,RTES,87.589,13.263,5000000000,4740205000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
13:06,RTES,87.514,13.275,3070000000,2908183370,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
13:06,RTES,87.514,13.275,1600000000,1515665600,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
13:06,RTES,87.514,13.275,1100000000,1042020100,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
13:06,RTES,87.514,13.275,230000000,217876930,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
10:11,RTES,91.349,13.16,160000000,165253120,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT34130358,2026-03-11
10:14,RTES,91.212,13.18,160000000,165033920,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT34130358,2026-03-11
11:21,RTES,91.212,13.18,2000000000,2062924000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT34130358,2026-03-11
12:58,RTES,90.602,13.27,35000000000,35887670000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT34130358,2026-03-11
13:02,RTES,89.866,13.38,2000000000,2036004000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT34130358,2026-03-11
12:58,RTES,58.771,12.8,50000000000,30736200000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT31261050,2026-03-11
09:35,RTES,70.269,13.217,11874000000,8688087060,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16181034,2026-03-11
10:05,RTES,70.199,13.235,2510400000,1835077296,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16181034,2026-03-11
10:28,RTES,70.227,13.225,10000000000,7308730000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16181034,2026-03-11
